source_id,num_locations,num_snapshots,num_changes,num_appointments,num_cancellations,min_date,max_date,scraper,name
amberg,5,8728,3772,2066,261,2021-07-26 00:03:02,2021-11-07 23:48:05,tevis,Stadt Amberg
ansbach,5,107,45,30,5,2021-10-04 00:03:08,2021-11-02 23:48:07,tempus,Stadt Ansbach
badkreuznach,4,8709,5126,2473,787,2021-07-26 00:03:10,2021-11-07 23:48:12,tevis,Stadt Bad-Kreuznach
badwaldsee,5,2016,1641,432,42,2021-10-04 00:03:08,2021-11-07 23:48:09,tempus,Stadt Bad Waldsee
bbmess,2,6068,775,372,94,2021-07-26 00:03:02,2021-11-07 23:48:03,etermin,Landesamt für Mess- und Eichwesen Berlin-Brandenburg
beckum,10,2016,2605,1457,505,2021-10-04 00:03:14,2021-11-07 23:48:16,tempus,Stadt Beckum
beckumschwimm,1,2016,18,0,0,2021-10-04 00:03:09,2021-11-07 23:48:04,tempus,Stadt Beckum Schwimmbäder
bergischgladbach,4,2016,2849,1328,924,2021-10-04 00:03:14,2021-11-07 23:48:14,tempus,Stadt Bergisch Gladbach
bergkamen,7,2016,4422,2346,1119,2021-10-04 00:03:23,2021-11-07 23:48:25,tempus,Stadt Bergkamen
bernkastelwittlich,3,8721,5638,3761,1840,2021-07-26 00:03:17,2021-11-07 23:48:17,tevis,Landkreis Bernkastel-Wittlich
bielefeldaus,1,89,61,18,1,2021-10-04 12:03:10,2021-11-05 18:03:05,tempus,Stadt Bielefeld Ausländerbehörde
bielefeldbb,30,2016,19977,15581,4486,2021-10-04 00:03:46,2021-11-07 23:48:47,tempus,Stadt Bielefeld Bürgerberatung
bielefeldfe,6,2016,2560,1734,317,2021-10-04 00:03:27,2021-11-07 23:48:29,tempus,Stadt Bielefeld Fahrerlaubnisbehörde
bielefeldkfz,1,2016,734,466,165,2021-10-04 00:03:10,2021-11-07 23:48:05,tempus,Stadt Bielefeld Kfz-Zulassungsbehörde
bielefeldsa,4,2016,476,230,73,2021-10-04 00:03:48,2021-11-07 23:48:50,tempus,Stadt Bielefeld Standesamt
billerbeck,3,8730,1724,1090,124,2021-07-26 00:03:04,2021-11-07 23:48:14,etermin,Stadt Billerbeck Verwaltung
blankenburg,2,8734,1265,991,69,2021-07-26 00:03:04,2021-11-07 23:48:17,etermin,Stadt Blankenburg (Harz)
bochum,7,2016,1035,0,0,2021-10-04 00:03:35,2021-11-07 23:48:37,tempus,Stadt Bochum
bochumbau,1,2014,62,30,8,2021-10-04 00:03:13,2021-11-07 23:48:14,netappoint,Stadt Bochum Baubürgeramt
bochumkfz,1,2015,1314,1199,578,2021-10-04 00:03:26,2021-11-07 23:48:25,netappoint,Stadt Bochum Büro für Kfz-Angelegenheiten
bochumsw,1,2016,12,0,0,2021-10-04 00:03:11,2021-11-07 23:48:06,tempus,Stadtwerke Bochum
bochumzl,1,2015,141,84,46,2021-10-04 00:03:03,2021-11-07 23:48:04,netappoint,Stadt Bochum Zulassungsstelle
bochumzl2,1,2015,85,39,3,2021-10-04 00:03:03,2021-11-07 23:48:04,netappoint,Stadt Bochum Zulassungsstelle Umtausch
boenen,6,2016,776,428,59,2021-10-04 00:03:53,2021-11-07 23:48:55,tempus,Gemeinde Bönen
bonn,3,10066,11396,8851,3618,2021-07-12 00:03:33,2021-11-07 23:49:28,netappoint,Stadt Bonn
bonnbau,1,10069,663,67,4,2021-07-12 00:03:38,2021-11-07 23:48:22,netappoint,Stadt Bonn Bauamt
bonnjob,4,8735,2133,82,528,2021-07-26 00:03:05,2021-11-07 23:48:19,etermin,Jobcenter Bonn
braunschweig,15,2016,3172,1521,564,2021-10-04 00:03:49,2021-11-07 23:48:50,netappoint,Stadt Braunschweig
braunschweigtest,1,637,59,20,1,2021-07-26 00:03:05,2021-08-01 15:03:18,etermin,Corona Test Braunschweig
bremen,38,2009,9034,5846,3195,2021-10-04 00:04:35,2021-11-07 23:49:27,tevis,Stadt Bremen / Bremerhaven
burgendlandkaa,1,8735,200,6,2,2021-07-26 00:03:06,2021-11-07 23:48:20,etermin,Kammer für Arbeiter und Angestellte für das Burgenland
burscheid,5,2016,2155,1105,518,2021-10-04 00:03:40,2021-11-07 23:48:41,tempus,Stadt Burscheid
butzbach,2,8735,1663,922,108,2021-07-26 00:03:06,2021-11-07 23:48:21,etermin,Magistrat der Stadt Butzbach
cochemzell,6,8723,5285,1618,563,2021-07-26 00:03:27,2021-11-07 23:48:29,tevis,Landkreis Cochem-Zell
coesfeld,2,8736,1088,174,31,2021-07-26 00:03:07,2021-11-07 23:48:25,etermin,Stadt Coesfeld
dachau,2,2016,1497,1024,559,2021-10-04 00:03:02,2021-11-07 23:48:03,tevis,Landratsamt Dachau
daunvg,1,7021,411,255,19,2021-07-26 00:03:07,2021-11-07 23:48:26,etermin,Verbandsgemeindeverwaltung Daun
deggendorf,6,2016,1962,1350,203,2021-10-04 00:03:30,2021-11-07 23:48:32,etermin,Landratsamt Deggendorf
dormagen,2,2497,343,150,5,2021-07-26 08:18:09,2021-11-06 11:18:36,etermin,Stadt Dormagen
dresden,3,10056,2277,1281,562,2021-07-12 00:03:49,2021-11-07 23:48:14,netappoint,Stadt Dresden
dresdenkfz,4,10057,8864,5538,1802,2021-07-12 00:04:05,2021-11-07 23:48:27,netappoint,Stadt Dresden Kfz-Zulassungsbehörde
duelmen,8,8733,6778,4274,763,2021-07-26 00:03:22,2021-11-07 23:49:29,etermin,Stadt Dülmen
ebersfeldwsw,2,2016,863,5,2,2021-10-04 00:03:14,2021-11-07 23:48:09,tempus,Stadtwerke Ebersfeld
egelsbach,3,3503,575,80,37,2021-07-12 00:04:06,2021-08-17 14:33:04,tevis,Stadt Egelsbach
eislingen,15,8709,5978,885,1025,2021-07-26 00:03:50,2021-11-07 23:48:39,tevis,Stadt Eislingen
elitheratest,1,458,47,10,9,2021-07-26 00:03:22,2021-07-31 10:03:50,etermin,Corona TESTZENTRUM im Elithera
eschwege,4,2016,395,46,43,2021-10-04 00:03:57,2021-11-07 23:49:00,tempus,Stadt Eschwege
essen,23,1771,6609,2497,1737,2021-10-04 00:04:18,2021-11-07 23:49:15,tempus,Stadt Essen Bürgeramt
essenborbeckkfz,4,1780,1997,1111,422,2021-10-04 00:03:44,2021-11-07 23:48:12,tempus,Kfz.-Zulassungs- u. Fahrerlaubnisbehörde Essen-Borbeck
essenfa,5,2014,1426,899,212,2021-10-04 00:04:03,2021-11-07 23:49:01,tempus,Stadt Essen Fahrerlaubnisbehörde
essenkfz,6,2014,3464,2093,896,2021-10-04 00:03:59,2021-11-07 23:49:19,tempus,Stadt Essen Kfz.-Zulassungsbehörde
